
 .d8888b.                        888                  d88888888888
d88P  Y88b                       888                 d88888  888  
888    888                       888                d88P888  888  
888       888d888888  88888888b. 888888 .d88b.     d88P 888  888  
888       888P"  888  888888 "88b888   d88""88b   d88P  888  888  
888    888888    888  888888  888888   888  888  d88P   888  888  
Y88b  d88P888    Y88b 888888 d88PY88b. Y88..88P d8888888888  888  
 "Y8888P" 888     "Y8888888888P"  "Y888 "Y88P" d88P     8888888888
                      888888                                      
                 Y8b d88P888                                      
                  "Y88P" 888                              by UmeW

             ***** Market Data Saver ******               

2017-12-18 17:07:00 : 0.0174925, low: 0.01748, high: 0.0175, r: 100.0, vol:10
2017-12-18 17:08:00 : 18853.07894736842, low: 18840, high: 18876, r: 100.0, vol:90854
2017-12-18 17:08:00 : 18619.788431061806, low: 18591, high: 18650.5, r: 64.65927099841521, vol:3969249
2017-12-18 17:08:00 : 0.01755, low: 0.01755, high: 0.01755, r: 100.0, vol:3
2017-12-18 17:07:00 : 0.04031, low: 0.04031, high: 0.04031, r: 0.0, vol:68
2017-12-18 17:08:00 : 20667.9, low: 20655, high: 20700, r: 100.0, vol:10695
2017-12-18 17:06:00 : 0.12573333333333334, low: 0.1255, high: 0.126, r: 66.66666666666667, vol:5
2017-12-18 17:09:00 : 18619.711822660098, low: 18610.5, high: 18624.5, r: 33.99014778325123, vol:2137197
2017-12-18 17:09:00 : 0.04032, low: 0.04031, high: 0.04033, r: 66.66666666666667, vol:33
2017-12-18 17:09:00 : 0.12596666666666667, low: 0.1259, high: 0.1261, r: 100.0, vol:3
2017-12-18 17:09:00 : 0.017644615384615384, low: 0.01758, high: 0.0177, r: 84.61538461538461, vol:277
2017-12-18 17:09:00 : 18884.352941176472, low: 18874, high: 18894, r: 88.23529411764706, vol:21428
2017-12-18 17:08:00 : 0.030108, low: 0.030108, high: 0.030108, r: 100.0, vol:7
2017-12-18 17:09:00 : 20712.166666666668, low: 20699, high: 20738, r: 100.0, vol:5695
2017-12-18 17:07:00 : 0.002068, low: 0.002068, high: 0.002068, r: 0.0, vol:13
2017-12-18 17:10:00 : 18608.037162162163, low: 18597, high: 18618, r: 34.12162162162162, vol:1959214
2017-12-18 17:10:00 : 0.1255, low: 0.1255, high: 0.1255, r: 0.0, vol:3
2017-12-18 17:10:00 : 18887.41304347826, low: 18875, high: 18905.5, r: 78.26086956521739, vol:61745
2017-12-18 17:10:00 : 0.017711666666666667, low: 0.0177, high: 0.01773, r: 83.33333333333333, vol:197
2017-12-18 17:10:00 : 0.03027, low: 0.03027, high: 0.03027, r: 100.0, vol:10
2017-12-18 17:10:00 : 20745.0, low: 20738, high: 20757.5, r: 100.0, vol:10000
2017-12-18 17:10:00 : 0.002069, low: 0.002069, high: 0.002069, r: 100.0, vol:100
2017-12-18 17:10:00 : 0.040325454545454546, low: 0.04022, high: 0.04038, r: 54.54545454545455, vol:123
2017-12-18 17:11:00 : 0.12541666666666665, low: 0.1253, high: 0.1255, r: 16.666666666666668, vol:15
2017-12-18 17:11:00 : 18580.79344262295, low: 18560.5, high: 18597, r: 17.049180327868854, vol:1729586
2017-12-18 17:11:00 : 0.030259, low: 0.030259, high: 0.030259, r: 100.0, vol:5
2017-12-18 17:11:00 : 18865.048387096773, low: 18818.5, high: 18881.5, r: 6.451612903225806, vol:79527
2017-12-18 17:12:00 : 0.12428750000000004, low: 0.1233, high: 0.1251, r: 12.5, vol:66
2017-12-18 17:12:00 : 18582.18789808917, low: 18570, high: 18600, r: 77.70700636942675, vol:816235
2017-12-18 17:11:00 : 0.00206, low: 0.00206, high: 0.00206, r: 0.0, vol:10
2017-12-18 17:12:00 : 18856.785714285714, low: 18836, high: 18871.5, r: 100.0, vol:4250
2017-12-18 16:46:00 : 0.019018, low: 0.019018, high: 0.019018, r: 0.0, vol:1
2017-12-18 17:11:00 : 20677.6875, low: 20654.5, high: 20700, r: 0.0, vol:8400
2017-12-18 17:13:00 : 18596.67619047619, low: 18586.5, high: 18605, r: 93.33333333333333, vol:730846
2017-12-18 17:13:00 : 0.12278571428571429, low: 0.1223, high: 0.1238, r: 35.714285714285715, vol:73
2017-12-18 17:13:00 : 18852.5, low: 18852.5, high: 18852.5, r: 0.0, vol:200
2017-12-18 17:11:00 : 0.040205000000000005, low: 0.0402, high: 0.04021, r: 0.0, vol:10
2017-12-18 17:13:00 : 20679.6, low: 20679.5, high: 20680, r: 100.0, vol:11540
2017-12-18 17:11:00 : 0.01771, low: 0.0177, high: 0.01772, r: 50.0, vol:53
